"State","Land Use & Land Use Change Categories","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Colorado","FS",2.2,2.2,2.2,2.2,2.2,2.2,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.32,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.48,2.48,2.48,2.48,2.48,2.48
"Colorado","FW",0.16,0.16,0.16,0.16,0.16,0.16,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.24,0.24,0.24,0.24,0.24
"Colorado","Total Woodlands Remaining Woodlands",1703.25,1703.75,1704.26,1704.76,1705.26,1705.77,1705.88,1706.17,1706.45,1706.74,1707.03,1707.31,1707.6,1707.88,1708.17,1708.45,1711.07,1711.17,1711.26,1711.35,1711.44,1711.54,1711.63,1711.72,1711.82,1711.91,1712,1709.36,1703.23,1697.1,1690.97,1684.84,1678.71
"Connecticut","Total Forest Land",656.23,658.35,660.48,662.6,664.47,666.33,668.19,670.05,671.92,673.78,675.75,677.72,679.68,681.65,683.62,685.59,688.08,690.57,693.07,695.56,698.05,700.1,702.15,704.21,706.26,708.31,710.36,711.99,713.62,715.25,716.87,718.5,720.13
"Connecticut","FF",652.57,654.69,656.81,658.94,661.36,663.22,665.09,666.95,668.81,670.67,672.59,674.56,676.52,678.49,680.46,682.43,684.22,686.71,689.21,691.7,694.19,696.83,698.88,700.93,702.99,705.04,707.09,709.12,710.75,712.37,714,715.63,717.26
"Connecticut","Total Land Converted to Forest Land",3.66,3.66,3.66,3.66,3.1,3.1,3.1,3.1,3.1,3.1,3.16,3.16,3.16,3.16,3.16,3.16,3.86,3.86,3.86,3.86,3.86,3.27,3.27,3.27,3.27,3.27,3.27,2.87,2.87,2.87,2.87,2.87,2.87
"Connecticut","CF",0.26,0.26,0.26,0.26,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.27,0.27,0.27,0.27,0.27,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.22,0.22
"Connecticut","GF",0.65,0.65,0.65,0.65,0.55,0.55,0.55,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.56,0.68,0.68,0.68,0.68,0.68,0.58,0.58,0.58,0.58,0.58,0.58,0.19,0.19,0.19,0.19,0.19,0.19
"Connecticut","OF",0.15,0.15,0.15,0.15,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.16,0.16,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.14,0.14,0.1,0.1,0.1,0.1,0.1,0.1
"Connecticut","SF",1.63,1.63,1.63,1.63,1.38,1.38,1.38,1.38,1.38,1.38,1.41,1.41,1.41,1.41,1.41,1.41,1.72,1.72,1.72,1.72,1.72,1.46,1.46,1.46,1.46,1.46,1.46,1.44,1.44,1.44,1.44,1.44,1.44
